State,Census Resident Total Population - Apr-1-2000,Resident Total Population Estimate - Jul-1-2000,Resident Total Population Estimate - Jul-1-2001,Net Domestic Migration - Jul-1-2000,Net Domestic Migration - Jul-1-2001,Federal/Civilian Movement from Abroad - Jul-1-2000,Federal/Civilian Movement from Abroad - Jul-1-2001,Net International Migration - Jul-1-2000,Net International Migration - Jul-1-2001,Period Births - Jul-1-2000,Period Births - Jul-1-2001,Period Deaths - Jul-1-2000,Period Deaths - Jul-1-2001,Resident Under 65 Population Estimate - Jul-1-2000,Resident Under 65 Population Estimate - Jul-1-2001,Resident 65 Plus Population Estimate - Jul-1-2000,Resident 65 Plus Population Estimate - Jul-1-2001,Residual - Jul-1-2000,Residual - Jul-1-2001,
Alabama,4447100,4451493,4464356,-1434,-7966,17,-98,714,3079,15812,64319,10622,45912,3870598,3880476,580895,583880,-94,-559,
Alaska,626932,627601,634892,-1611,-1091,28,-152,379,1330,2496,10128,679,2949,591644,598036,35957,36856,56,25,
Arizona,5130632,5165274,5307331,17259,75633,37,-180,6124,22794,20486,84295,9486,41217,4492186,4614912,673088,692419,222,732,
Arkansas,2673400,2678030,2692090,1101,964,6,-36,739,2879,9341,38629,6557,28286,2303817,2318055,374213,374035,0,-90,
California,33871648,34000446,34501130,-19015,-69499,336,-1515,71852,271841,129777,530349,54040,231693,30389907,30845002,3610539,3656128,-112,1201,
Colorado,4301261,4323410,4417714,8975,41164,51,-253,3869,15791,15489,64358,6474,27670,3905062,3991482,418348,426232,239,914,
Connecticut,3405565,3410079,3425074,-1526,-8102,11,-60,2850,11974,10445,42898,7012,30820,2939604,2954602,470475,470472,-254,-895,
Delaware,783600,786234,796165,1169,4294,6,-32,386,1691,2704,11158,1591,7001,684016,692223,102218,103942,-40,-179,
District of Columbia,572059,571066,571822,-2347,-4444,11,-42,759,3275,1988,8193,1434,6155,501467,503634,69599,68188,30,-71,
Florida,15982378,16054328,16396515,31461,205303,107,-569,27931,94499,50432,205675,38103,166069,13237167,13548077,2817161,2848438,122,3348,
Georgia,8186453,8229823,8383915,18776,59260,112,-599,5634,22742,32900,135453,14804,65000,7440877,7582146,788946,801769,752,2236,
Hawaii,1211537,1212281,1224398,-3164,-3060,67,-359,1198,5295,4550,18902,1940,8417,1050936,1060547,161345,163851,33,-244,
Idaho,1293953,1299258,1321006,1967,8457,8,-35,753,2954,4769,19814,2283,9693,1152638,1171974,146620,149032,91,251,
Illinois,12419293,12435970,12482301,-19476,-90810,47,-203,15776,59384,45523,185671,25398,108905,10936030,10987716,1499940,1494585,205,1194,
Indiana,6080485,6089950,6114745,-325,-12197,1,-6,1829,7515,21049,86077,12965,56214,5336614,5361273,753336,753472,-124,-380,
Iowa,2926324,2927509,2923179,-2181,-16609,0,-2,1067,3539,9154,37494,6685,28348,2491726,2490235,435783,432944,-170,-404,
Kansas,2688418,2691750,2694641,-2160,-17146,27,-141,1783,6144,9546,39166,5862,25183,2335613,2339821,356137,354820,-2,51,
Kentucky,4041769,4047424,4065556,762,616,43,-236,766,3037,13360,55402,9231,40200,3542111,3559447,505313,506109,-45,-487,
Louisiana,4468976,4469970,4465430,-7274,-35655,29,-158,684,3113,17358,70075,9779,41854,3952722,3948155,517248,517275,-24,-61,
Maine,1274923,1276961,1286670,1620,8513,6,-31,146,742,3235,13270,2916,12596,1093185,1101813,183776,184857,-53,-189,
Maryland,5296486,5310908,5375156,920,11719,60,-297,5283,21620,18467,76136,10245,44600,4709391,4766272,601517,608884,-63,-330,
Massachusetts,6349097,6357072,6379304,-3680,-20751,5,-34,5013,20697,19929,81133,13251,57534,5496611,5519753,860461,859551,-41,-1279,
Michigan,9938444,9952006,9990817,-3427,-26995,2,-16,4883,19332,33135,136143,20588,88704,8731644,8768123,1220362,1222694,-443,-949,
Minnesota,4919479,4931093,4972294,2401,3252,1,-14,2121,9755,16102,66439,9090,38273,4336057,4375626,595036,596668,79,42,
Mississippi,2844658,2849100,2858029,-526,-8902,24,-136,375,1495,11287,45683,6759,29172,2505127,2513104,343973,344925,41,-39,
Missouri,5595211,5603553,5629707,1029,-142,24,-123,1783,6368,18648,76029,13114,55648,4848052,4875388,755501,754319,-28,-330,
Montana,902195,903157,904433,191,-1568,5,-27,102,368,2610,10710,1950,8215,782010,782788,121147,121645,4,8,
Nebraska,1711263,1712577,1713235,-1787,-11235,12,-64,909,3066,5891,24301,3625,15253,1480423,1481814,232154,231421,-86,-157,
Nevada,1998257,2018723,2106074,12883,57600,12,-66,3355,13584,7284,29950,3492,15096,1796529,1871550,222194,234524,424,1379,
New Hampshire,1235786,1239881,1259181,2627,13605,1,-6,341,1353,3415,14268,2272,9865,1091360,1108815,148521,150366,-17,-55,
New Jersey,8414350,8429007,8484431,-8352,-30863,14,-76,12170,48191,27759,111097,16778,72489,7315177,7370928,1113830,1113503,-156,-436,
New Mexico,1819046,1821282,1829146,-2477,-10004,18,-91,1161,4774,6669,27063,3150,13712,1608003,1612292,213279,216854,15,-166,
New York,18976457,18989332,19011378,-44761,-204875,35,-180,30840,128286,63696,260076,37380,160466,16540139,16565610,2449193,2445768,445,-795,
North Carolina,8049313,8077367,8186268,11263,44420,154,-824,4050,17141,29308,121535,16726,73231,7104587,7200948,972780,985320,5,-140,
North Dakota,642200,640919,634448,-1835,-8554,10,-49,111,456,1847,7605,1422,5957,546539,540692,94380,93756,8,28,
Ohio,11353140,11359955,11373541,-7605,-41973,9,-50,2420,10143,37904,157816,25497,110935,9851546,9866062,1508409,1507479,-416,-1415,
Oklahoma,3450654,3453250,3460097,-2496,-11120,39,-214,1230,5209,12016,48311,8118,35149,2996776,3002636,456474,457461,-75,-190,
Oregon,3421399,3429293,3472867,1213,17913,0,-13,2753,11044,10956,45043,6937,30057,2990148,3030929,439145,441938,-91,-356,
Pennsylvania,12281054,12282591,12287150,-7038,-23602,3,-30,4231,18314,35530,144591,30511,132539,10364698,10378991,1917893,1908159,-678,-2175,
Rhode Island,1048319,1050236,1058920,642,3870,5,-24,698,2957,3005,12370,2353,10218,897786,906631,152450,152289,-80,-271,
South Carolina,4012012,4023438,4063011,4899,16325,61,-315,1093,4470,14064,57266,8581,37613,3535770,3567172,487668,495839,-110,-560,
South Dakota,754844,755509,756600,-282,-2601,5,-26,109,534,2550,10316,1672,7150,647396,648795,108113,107805,-45,18,
Tennessee,5689283,5702027,5740021,4545,8634,20,-106,1564,6090,19489,79757,12823,56130,4996538,5027557,705489,712464,-51,-251,
Texas,20851820,20946503,21325018,12278,62736,190,-975,28144,106403,87961,359457,34933,150688,18863542,19206555,2082961,2118463,1043,1582,
Utah,2233169,2241555,2269789,-1912,-13004,7,-41,1943,7424,11199,46317,2901,12528,2050127,2074052,191428,195737,50,66,
Vermont,608827,609709,613090,440,1705,0,-1,136,700,1545,6327,1202,5226,531993,534733,77716,78357,-37,-124,
Virginia,7078515,7104016,7187734,8119,18299,232,-1212,5721,22619,24352,100188,13158,57337,6308235,6380181,795781,807553,235,1161,
Washington,5894121,5908372,5987973,425,21995,83,-444,5249,22052,19388,80339,10365,44681,5244172,5317341,664200,670632,-529,340,
West Virginia,1808344,1807099,1801916,-1411,-4442,0,-1,129,491,5041,20436,4937,21435,1530334,1526360,276765,275556,-67,-232,
Wisconsin,5363675,5372243,5401906,1536,2974,0,-5,1571,6056,16696,68631,11058,47276,4669153,4698404,703090,703502,-177,-717,
Wyoming,493782,494001,494423,-399,-2041,5,-27,100,390,1480,6130,976,3980,436178,436217,57823,58206,9,-50,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
